session,run,order,image_path,is_repeat,image_id,repetition_num
1,6,4,/storage/bigdata/NSD_stimulus/train2017/000000343960.jpg,1,213,1
1,6,5,/storage/bigdata/NSD_stimulus/train2017/000000346813.jpg,1,204,2
1,6,6,/storage/bigdata/NSD_stimulus/train2017/000000326073.jpg,1,48,1
1,6,7,/storage/bigdata/NSD_stimulus/train2017/000000513887.jpg,1,241,1
1,6,8,/storage/bigdata/NSD_stimulus/train2017/000000513497.jpg,1,127,2
1,6,9,/storage/bigdata/NSD_stimulus/train2017/000000196290.jpg,1,236,2
1,6,10,/storage/bigdata/NSD_stimulus/train2017/000000454654.jpg,1,134,1
1,6,11,/storage/bigdata/NSD_stimulus/train2017/000000216556.jpg,1,143,2
1,6,12,/storage/bigdata/NSD_stimulus/train2017/000000410182.jpg,1,232,1
1,6,13,/storage/bigdata/NSD_stimulus/train2017/000000314192.jpg,1,9,2
1,6,14,/storage/bigdata/NSD_stimulus/train2017/000000047405.jpg,1,103,1
1,6,15,/storage/bigdata/NSD_stimulus/train2017/000000331419.jpg,1,163,1
1,6,16,/storage/bigdata/NSD_stimulus/train2017/000000492170.jpg,1,50,1
1,6,17,/storage/bigdata/NSD_stimulus/train2017/000000021408.jpg,1,233,2
1,6,18,/storage/bigdata/NSD_stimulus/train2017/000000491177.jpg,1,0,1
1,6,19,/storage/bigdata/NSD_stimulus/train2017/000000345074.jpg,1,12,1
1,6,20,/storage/bigdata/NSD_stimulus/train2017/000000016076.jpg,1,106,1
1,6,21,/storage/bigdata/NSD_stimulus/train2017/000000430856.jpg,1,3,1
1,6,22,/storage/bigdata/NSD_stimulus/train2017/000000196226.jpg,1,2,1
1,6,23,/storage/bigdata/NSD_stimulus/train2017/000000508269.jpg,1,8,2
1,6,24,/storage/bigdata/NSD_stimulus/train2017/000000230245.jpg,1,10,1
1,6,25,/storage/bigdata/NSD_stimulus/train2017/000000127550.jpg,1,4,1
1,6,26,/storage/bigdata/NSD_stimulus/train2017/000000362751.jpg,1,5,2
1,6,27,/storage/bigdata/NSD_stimulus/train2017/000000467961.jpg,1,6,1
1,6,28,/storage/bigdata/NSD_stimulus/train2017/000000265597.jpg,1,1,2
1,6,29,/storage/bigdata/NSD_stimulus/train2017/000000230245.jpg,1,10,2
1,6,30,/storage/bigdata/NSD_stimulus/train2017/000000426538.jpg,1,14,1
1,6,31,/storage/bigdata/NSD_stimulus/val2017/000000286907.jpg,1,128,1
1,6,32,/storage/bigdata/NSD_stimulus/train2017/000000196226.jpg,1,2,2
1,6,33,/storage/bigdata/NSD_stimulus/train2017/000000015954.jpg,1,7,1
1,6,34,/storage/bigdata/NSD_stimulus/train2017/000000351287.jpg,1,21,2
1,6,35,/storage/bigdata/NSD_stimulus/train2017/000000055303.jpg,1,13,1
1,6,36,/storage/bigdata/NSD_stimulus/train2017/000000284861.jpg,1,15,1
1,6,37,/storage/bigdata/NSD_stimulus/train2017/000000351287.jpg,1,21,1
1,6,38,/storage/bigdata/NSD_stimulus/train2017/000000127550.jpg,1,4,2
1,6,39,/storage/bigdata/NSD_stimulus/train2017/000000314192.jpg,1,9,1
1,6,40,/storage/bigdata/NSD_stimulus/train2017/000000550395.jpg,1,16,1
1,6,41,/storage/bigdata/NSD_stimulus/train2017/000000471439.jpg,1,25,2
1,6,42,/storage/bigdata/NSD_stimulus/train2017/000000467961.jpg,1,6,2
1,6,43,/storage/bigdata/NSD_stimulus/train2017/000000284861.jpg,1,15,2
1,6,44,/storage/bigdata/NSD_stimulus/train2017/000000509772.jpg,1,19,2
1,6,45,/storage/bigdata/NSD_stimulus/train2017/000000491177.jpg,1,0,2
1,6,46,/storage/bigdata/NSD_stimulus/train2017/000000362751.jpg,1,5,1
1,6,47,/storage/bigdata/NSD_stimulus/train2017/000000426538.jpg,1,14,2
1,6,48,/storage/bigdata/NSD_stimulus/train2017/000000523344.jpg,1,40,1
1,6,49,/storage/bigdata/NSD_stimulus/train2017/000000538272.jpg,1,18,2
1,6,50,/storage/bigdata/NSD_stimulus/train2017/000000345074.jpg,1,12,2
1,6,51,/storage/bigdata/NSD_stimulus/train2017/000000448220.jpg,1,29,1
1,6,52,/storage/bigdata/NSD_stimulus/train2017/000000034437.jpg,1,11,1
1,6,53,/storage/bigdata/NSD_stimulus/train2017/000000038030.jpg,1,23,2
1,6,54,/storage/bigdata/NSD_stimulus/train2017/000000523344.jpg,1,40,2
1,6,55,/storage/bigdata/NSD_stimulus/train2017/000000465174.jpg,1,24,1
1,6,56,/storage/bigdata/NSD_stimulus/train2017/000000001488.jpg,1,27,2
1,6,57,/storage/bigdata/NSD_stimulus/train2017/000000429691.jpg,1,35,2
1,6,58,/storage/bigdata/NSD_stimulus/train2017/000000450993.jpg,1,39,2
1,6,59,/storage/bigdata/NSD_stimulus/train2017/000000275643.jpg,1,41,2
1,6,60,/storage/bigdata/NSD_stimulus/train2017/000000428576.jpg,1,26,1
1,6,61,/storage/bigdata/NSD_stimulus/train2017/000000428576.jpg,1,26,2
1,6,62,/storage/bigdata/NSD_stimulus/train2017/000000090615.jpg,1,30,1
1,7,1,/storage/bigdata/NSD_stimulus/train2017/000000008401.jpg,1,46,1
1,7,2,/storage/bigdata/NSD_stimulus/train2017/000000172406.jpg,1,223,1
1,7,3,/storage/bigdata/NSD_stimulus/train2017/000000126973.jpg,1,34,1
1,7,4,/storage/bigdata/NSD_stimulus/train2017/000000184614.jpg,1,37,2
1,7,5,/storage/bigdata/NSD_stimulus/train2017/000000275643.jpg,1,41,1
1,7,6,/storage/bigdata/NSD_stimulus/train2017/000000001488.jpg,1,27,1
1,7,7,/storage/bigdata/NSD_stimulus/train2017/000000429691.jpg,1,35,1
1,7,8,/storage/bigdata/NSD_stimulus/train2017/000000133194.jpg,1,70,2
1,7,9,/storage/bigdata/NSD_stimulus/train2017/000000230038.jpg,1,117,1
1,7,10,/storage/bigdata/NSD_stimulus/train2017/000000020527.jpg,1,17,2
1,7,11,/storage/bigdata/NSD_stimulus/train2017/000000406770.jpg,1,31,2
1,7,12,/storage/bigdata/NSD_stimulus/train2017/000000450993.jpg,1,39,1
1,7,13,/storage/bigdata/NSD_stimulus/train2017/000000090615.jpg,1,30,2
